key;fare_amount;pickup_datetime;Startlongitude;Startlatitude;Distance_km;passenger_count
2009-01-09 16:10:00.000000170;31,9;2009-01-09 16:10:00 UTC;-73,873000;40,773000;13,405373;3
2010-05-31 18:06:00.00000097;34,67;2010-05-31 18:06:00 UTC;-73,985000;40,758000;13,525821;1
2012-05-11 15:03:53.0000001;32,5;2012-05-11 15:03:53 UTC;-73,872000;40,774000;11,748063;2
2013-03-24 18:05:42.0000002;35,5;2013-03-24 18:05:42 UTC;-73,863000;40,770000;17,232440;1
2012-04-22 00:35:00.000000113;26,900000000000002;2012-04-22 00:35:00 UTC;-73,863000;40,768000;14,313545;6
2012-03-16 07:58:00.00000012;30,900000000000002;2012-03-16 07:58:00 UTC;-73,981000;40,763000;13,401646;5
2010-06-15 13:31:08.0000002;26,67;2010-06-15 13:31:08 UTC;-73,958000;40,760000;11,614512;1
2015-03-19 12:38:17.0000001;52,83;2015-03-19 12:38:17 UTC;-73,873000;40,774000;13,183534;1
2009-08-03 08:19:45.0000002;34;2009-08-03 08:19:45 UTC;-73,863000;40,769000;13,501058;1
2010-06-09 14:53:47.0000001;33,07;2010-06-09 14:53:47 UTC;-73,862000;40,769000;14,577522;2
2011-05-04 13:44:00.000000132;36,5;2011-05-04 13:44:00 UTC;-73,873000;40,774000;12,715498;5
2015-03-11 14:48:58.0000006;33,83;2015-03-11 14:48:58 UTC;-73,973000;40,756000;12,124266;1
2009-09-02 05:18:10.0000001;25,7;2009-09-02 05:18:10 UTC;-73,991000;40,760000;15,685120;1
2009-09-12 10:56:00.000000121;32,9;2009-09-12 10:56:00 UTC;-73,982000;40,769000;13,239966;1
2014-07-20 11:49:33.0000003;24;2014-07-20 11:49:33 UTC;-73,874000;40,774000;11,133078;1
2014-07-13 11:15:00.000000127;28;2014-07-13 11:15:00 UTC;-73,870000;40,773000;11,428550;1
2012-09-02 23:09:00.00000016;38,5;2012-09-02 23:09:00 UTC;-73,977000;40,746000;15,154401;2
2012-11-30 11:02:00.000000111;38,8;2012-11-30 11:02:00 UTC;-73,974000;40,756000;13,297185;1
2010-11-13 04:38:00.0000002;38,1;2010-11-13 04:38:00 UTC;-74,007000;40,725000;16,855227;1
2013-08-05 15:08:42.0000002;38,83;2013-08-05 15:08:42 UTC;-73,978000;40,764000;13,638817;3
2011-11-23 17:58:00.000000137;26,900000000000002;2011-11-23 17:58:00 UTC;-73,874000;40,774000;10,744445;1
2012-01-08 02:10:00.000000153;19,7;2012-01-08 02:10:00 UTC;-73,987000;40,736000;10,153382;2
2012-08-30 18:17:13.0000001;30,900000000000002;2012-08-30 18:17:13 UTC;-73,978000;40,737000;13,655165;2
2014-08-21 12:40:24.0000002;38,33;2014-08-21 12:40:24 UTC;-73,977000;40,776000;13,896062;1
2012-07-09 07:54:34.0000003;38,5;2012-07-09 07:54:34 UTC;-73,862000;40,769000;17,516612;1
2013-01-17 23:42:16.0000001;45;2013-01-17 23:42:16 UTC;-73,999000;40,754000;16,309842;1
2009-10-01 06:43:42.0000001;31,2;2009-10-01 06:43:42 UTC;-73,975000;40,757000;13,263407;1
2012-04-20 15:36:33.0000005;34,1;2012-04-20 15:36:33 UTC;-73,873000;40,773000;13,256796;1
2012-04-19 19:11:35.0000005;28,1;2012-04-19 19:11:35 UTC;-73,863000;40,769000;16,415265;1
2010-04-27 20:20:00.000000200;23,7;2010-04-27 20:20:00 UTC;-74,005000;40,650000;17,486680;1
2013-07-19 18:55:00.000000129;31,83;2013-07-19 18:55:00 UTC;-73,865000;40,770000;13,625955;1
2009-04-25 13:08:00.000000119;25,450000000000003;2009-04-25 13:08:00 UTC;-73,990000;40,745000;12,644335;1
2013-12-23 13:52:00.000000163;30,83;2013-12-23 13:52:00 UTC;-73,952000;40,776000;10,997844;1
2012-10-13 02:31:22.0000001;31,5;2012-10-13 02:31:22 UTC;-74,007000;40,726000;16,468397;1
2011-07-30 07:33:13.0000001;16,9;2011-07-30 07:33:13 UTC;-73,884000;40,755000;11,500434;1
